"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Farm product prices, crops and livestock","32100077","002-0043","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210007701",1,"CURRENT - a cube available to the public and that is current","Monthly","1980-01-01","2021-12-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Farm products",13,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
13,"Commodity names have been adjusted to align with the <a href="http://www23.statcan.gc.ca/imdb/p3VD.pl?Function=getVD&TVD=1196978">Variant of North American Product Classification System (NAPCS) Canada 2017 Version 2.0 - Agricultural goods</a>."
2,"These prices include initial, adjusted initial, interim and final payments made by the Ontario Wheat Producers' Marketing Board on a retroactive basis."
3,"These prices exclude payments made for initial price increases, interim and final payments made from the Ontario Wheat Producers' Marketing Board."
9,"Wheat (except durum wheat) prices include the weighted average prices of milling and other wheat (except durum wheat). Wheat (except durum wheat), other includes wheat used for animal feed, as well as for the production of ethanol."
4,"These prices include initial, adjusted initial, interim and final payments made by the Canadian Wheat Board on a retroactive basis."
10,"Starting in crop-year 2012-2013, following the enactment of Bill C-18, the Canadian Wheat Board is no longer the sole purchaser of wheat and barley for domestic human consumption and export. Producers now have the option of selling their grain directly to buyers."
5,"These prices exclude payments made for initial price increases, interim and final payments made by the Canadian Wheat Board."
11,"For Manitoba, Saskatchewan, Alberta and British Columbia, prior to the 2012-2013 crop year, barley prices included only non-board barley."
12,"Barley prices include the weighted average prices of barley for animal feed and barley for malt and other human consumption."
14,"For Alberta, cattle for feeding prices include the weighted average prices of steers for feeding, heifers for feeding, bulls for feeding and cows for feeding. For New Brunswick, Manitoba, Saskatchewan and British Columbia, cattle for feeding prices include the weighted average prices of steers for feeding and heifers for feeding. For Prince Edward Island and Nova Scotia, cattle for feeding prices include the weighted average prices of steers for feeding, heifers for feeding and bulls for feeding."
6,"Chicken prices include the weighted average prices of both broilers and heavier birds."
7,"Subsidies for unprocessed milk from bovine ended in May 2002."

"Correction ID","Correction Date","Correction Note"
