"","responseid","respid","status","province","cropland_owned","hayland_owned","pastland_owned","cropland_rented","hayland_rented","pastland_rented","totalacres","canola","barley","rye","spring_wheat","beans","peas","flaxseed","lentil","soybeans","corn","oats","sunflower","others","auto_guidance","gps","variable_rate","drones","soil_test","slow_release_fert","rentland_next5yrs","buyland_next5yrs","bothrentbuy_next5yrs","notrentbuy_next5yrs","num_permanent_wl","num_seasonal_wl","own_eqdwl","no_rent_eqdwl","no_own_rent_eqdwl","own_scrapper","own_trackhoe","own_ditch_machine","own_tile_plow","two_out_ten","four_out_ten","six_out_ten","eight_out_ten","ten_out_ten","dont_farm_seasonal_wl","twenty_five_abav","ten_abav","about_average","ten_belav","twenty_five_belav","converted_bush","converted_bush","converted_wetland","converted_nativegrassland","childrenlikely_takeover","nolandwithwetlandconfchoice","nointerestedrentmoreland","rentalpricestoohigh","overalllandquanotattractive","perc_wl_potent_convert","num_wl_convert","num_wlacres_convert","draincost_peracre","rate_increasedeff","rate_landquality","rate_draincost","rate_effonwaterqual","rate_effonnearbyflooding","rate_effsurrlandacc","rate_delayedplanting","rate_weedcontrol","rate_wildlifehabitat","conserwl_mandatorypartsustainagcert","haveenvfarmplan","partbmp","waterqual_veryimport","waterqual_slightlyimport","waterqual_notimport","waterqual_noopinion","floodcont_veryimport","floodcont_slightlyimport","floodcont_notimport","floodcont_noopinion","erosioncont_veryimport","erosioncont_slightlyimport","erosioncont_notimport","erosioncont_noopinion","wildlifehab_veryimport","wildlifehab_slightlyimport","wildlifehab_notimport","wildlifehab_noopinion","numwl_decreasedalot","numwl_slightdecreased","numwl_nochange","numwl_slightincrease","numwl_increasedalot","waterquality_decreasedalot","waterquality_slightdecreased","waterquality_nochange","waterquality_slightincrease","waterquality_increasedalot","conservationpayment_leasteffective","conservationpayment_mosteffective","techassistance_leasteffective","techassistance_mosteffective","extensionprog_leasteffective","extensionprog_mosteffective","conservationeasement_leasteffective","conservationeasement_mosteffective","sustainabilitycert_leasteffective","sustainabilitycert_mosteffective","regulation_leasteffective","regulation_mosteffective","chem_dealer_cropinfo","seeddealer_cropinfo","regagextspecialist_cropinfo","privcropconsultant_cropinfo","univsext_cropinfo","commoditygrps_cropinfo","chem_dealer_conserinfo","seeddealer_conserinfo","regagextspecialist_conserinfo","privcropconsultant_conserinfo","univsext_conserinfo","commoditygrps_conserinfo","sole_proprietorship","partnership","familycorporation","nonfam_corporation","zero_tllage_in2019","continuouscropping_in2019","plowgreencrops_in2019","hvewintercrops_in2019","rotationalgrazing_in2019","infield_wintergrazing_in2019","shelterbelts_in2019","sex","age_18_24","age_25_34","age_35_44","age_45_54","age_55_64","age_65_74","age_75more","age_noresponse","no_schooling","highschool","some_posysecondary","vocationa_diploma","university_degree","donot_know","prop_hhincome_farming","years_farmoperatedfarm","have_children","childrenlikely_takeover"
"17",20,345,"complete","AB",3000,0,0,0,0,0,3200,33,33,0,34,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,"2","20","200.00",4,3,3,3,2,4,3,3,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,100,40,1,0
"18",21,2237,"complete","SK",28000,0,0,0,0,0,28000,0,0,0,0,0,0,0,50,0,0,0,0,50,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"#NULL!","#NULL!","#NULL!",4,4,3,2,4,3,4,4,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100,100,1,1
"19",22,9884,"complete","AB",1400,200,300,1100,0,0,3300,40,30,0,20,10,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,8,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","20","300.00",5,5,4,4,5,4,5,5,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,100,107,1,0
"20",25,580,"complete","AB",5340,0,0,900,0,0,6740,35,0,0,50,0,15,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,15,40,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"2","10","500.00",5,4,3,3,3,4,3,4,2,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,99,42,1,1
"21",26,12255,"complete","AB",8000,2000,2000,2000,2000,2000,20000,25,25,0,25,0,25,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"1","60","500.00",4,4,4,4,4,4,4,4,4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,100,40,1,1
"22",27,54,"complete","SK",1000,0,0,700,0,160,1860,20,0,0,50,0,0,0,30,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"1","15","100.00",3,3,3,3,4,4,5,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,100,100,1,1
"23",28,6399,"complete","AB",10000,400,1500,300,0,0,12300,30,30,0,30,0,0,0,0,0,0,0,0,10,1,0,0,1,1,0,0,0,1,0,10,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"5","35","400.00",2,4,4,3,1,2,1,4,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,50,100,1,1
"24",29,32,"complete","SK",7800,800,960,560,0,0,11320,25,25,0,33,0,2,0,0,0,1,14,0,0,1,0,0,0,1,0,0,1,0,0,10,5,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,"5","150","30.00",4,4,4,4,4,4,4,4,4,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,50,50,1,1
"25",30,2747,"complete","SK",3300,0,0,2900,0,0,7260,32,0,0,55,0,13,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,100,50,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"100","1000","1000.00",5,5,3,3,4,2,4,3,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,100,100,1,0
"26",32,10662,"complete","SK",1300,0,0,0,0,0,1360,60,0,0,40,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,50,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,"20","50","1000.00",4,4,4,4,4,3,4,4,2,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100,55,1,1
"27",33,4686,"complete","AB",470,180,40,0,0,0,700,0,68,0,0,0,0,0,0,0,16,0,0,16,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,"2","10","1750.00",4,4,3,4,4,4,4,4,3,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,100,64,1,1
"28",34,12231,"complete","AB",94000,0,0,0,0,0,106000,20,20,0,40,0,10,0,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,45,25,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"25","150","150.00",4,4,4,1,4,2,4,4,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,70,35,1,1
"29",35,9615,"complete","SK",0,0,0,160,200,4800,5160,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#NULL!","#NULL!","#NULL!",3,5,5,4,5,4,3,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,75,41,0,0
"30",38,7893,"complete","SK",20000,0,1500,7000,0,0,28500,50,10,0,10,0,20,0,5,0,0,5,0,0,1,1,0,1,1,1,0,0,1,0,100,50,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,"30","30","200.00",2,5,3,4,3,4,3,3,3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,75,25,1,1
"31",39,2890,"complete","AB",2800,0,0,100,0,0,2900,50,20,0,25,0,0,0,0,0,0,5,0,0,1,1,1,0,1,0,1,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,"3","10","150.00",4,4,3,3,3,4,4,4,3,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,100,72,1,1
"32",40,4652,"complete","SK",1550,0,0,0,0,0,1550,50,25,0,25,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,"5","5","100.00",3,3,3,3,2,3,3,3,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,100,50,1,1
"33",42,6715,"complete","SK",5280,0,0,9720,0,0,15000,30,20,5,20,0,0,0,0,0,0,5,0,20,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,"10","10","200.00",5,4,3,1,4,4,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,100,35,1,0
